Problem:    
Rows:       464
Columns:    1792 (1792 integer, 0 binary)
Non-zeros:  3752
Status:     INTEGER OPTIMAL
Objective:  obj = 105 (MAXimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 c1                         15                          15 
     2 c2                         15                          15 
     3 c3                         15                          15 
     4 c4                         15                          15 
     5 c5                         15                          15 
     6 c6                         15                          15 
     7 c7                         15                          15 
     8 c8                         23                          23 
     9 c9                         22                          29 
    10 c10                        15                          30 
    11 c11                        18                          18 
    12 c12                        27                          28 
    13 c13                        15                          19 
    14 c14                         0                          16 
   144 c144                        0             0             = 
   145 c145                        0             0             = 
   146 c146                        0             0             = 
   147 c147                        0             0             = 
   148 c148                        0             0             = 
   149 c149                        0             0             = 
   150 c150                        0             0             = 
   151 c151                        0             0             = 
   152 c152                        0             0             = 
   153 c153                        0             0             = 
   154 c154                        0             0             = 
   155 c155                        0             0             = 
   156 c156                        0             0             = 
   157 c157                        0             0             = 
   158 c158                        0             0             = 
   159 c159                        0             0             = 
   160 c160                        0             0             = 
   161 c161                        0             0             = 
   162 c162                        0             0             = 
   163 c163                        0             0             = 
   164 c164                        0             0             = 
   165 c165                        0             0             = 
   166 c166                        0             0             = 
   167 c167                        0             0             = 
   168 c168                        0             0             = 
   169 c169                        0             0             = 
   170 c170                        0             0             = 
   171 c171                        0             0             = 
   172 c172                        0             0             = 
   173 c173                        0             0             = 
   174 c174                        0             0             = 
   175 c175                        0             0             = 
   176 c176                        0             0             = 
   177 c177                        0             0             = 
   178 c178                        0             0             = 
   179 c179                        0             0             = 
   180 c180                        0             0             = 
   181 c181                        0             0             = 
   182 c182                        0             0             = 
   183 c183                        0             0             = 
   184 c184                        0             0             = 
   185 c185                        0             0             = 
   186 c186                        0             0             = 
   187 c187                        0             0             = 
   188 c188                        0             0             = 
   189 c189                        0             0             = 
   190 c190                        0             0             = 
   191 c191                        0             0             = 
   192 c192                        0             0             = 
   193 c193                        0             0             = 
   194 c194                        0             0             = 
   195 c195                        0             0             = 
   196 c196                        0             0             = 
   197 c197                        0             0             = 
   198 c198                        0             0             = 
   199 c199                        0             0             = 
   200 c200                        0             0             = 
   201 c201                        0             0             = 
   202 c202                        0             0             = 
   203 c203                        0             0             = 
   204 c204                        0             0             = 
   205 c205                        0             0             = 
   206 c206                        0             0             = 
   207 c207                        0             0             = 
   208 c208                        0             0             = 
   209 c209                        0             0             = 
   210 c210                        0             0             = 
   211 c211                        0             0             = 
   212 c212                        0             0             = 
   213 c213                        0             0             = 
   214 c214                        0             0             = 
   215 c215                        0             0             = 
   216 c216                        0             0             = 
   217 c217                        0             0             = 
   218 c218                        0             0             = 
   219 c219                        0             0             = 
   220 c220                        0             0             = 
   221 c221                        0             0             = 
   222 c222                        0             0             = 
   223 c223                        0             0             = 
   224 c224                        0             0             = 
   225 c225                        0             0             = 
   226 c226                        0             0             = 
   227 c227                        0             0             = 
   228 c228                        0             0             = 
   229 c229                        0             0             = 
   230 c230                        0             0             = 
   231 c231                        0             0             = 
   232 c232                        0             0             = 
   233 c233                        0             0             = 
   234 c234                        0             0             = 
   235 c235                        0             0             = 
   236 c236                        0             0             = 
   237 c237                        0             0             = 
   238 c238                        0             0             = 
   239 c239                        0             0             = 
   240 c240                        0             0             = 
   241 c241                        0             0             = 
   242 c242                        0             0             = 
   243 c243                        0             0             = 
   244 c244                        0             0             = 
   245 c245                        0             0             = 
   246 c246                        0             0             = 
   247 c247                        0             0             = 
   248 c248                        0             0             = 
   249 c249                        0             0             = 
   250 c250                        0             0             = 
   251 c251                        0             0             = 
   252 c252                        0             0             = 
   253 c253                        0             0             = 
   254 c254                        0             0             = 
   255 c255                        0             0             = 
   256 c256                        0             0             = 
   257 c257                        0             0             = 
   258 c258                        0             0             = 
   259 c259                        0             0             = 
   260 c260                        0             0             = 
   261 c261                        0             0             = 
   262 c262                        0             0             = 
   263 c263                        0             0             = 
   264 c264                        0             0             = 
   265 c265                        0             0             = 
   266 c266                        0             0             = 
   267 c267                        0             0             = 
   268 c268                        0             0             = 
   269 c269                        0             0             = 
   270 c270                        0             0             = 
   271 c271                        0             0             = 
   272 c272                        0             0             = 
   273 c273                        0             0             = 
   274 c274                        0             0             = 
   275 c275                        0             0             = 
   276 c276                        0             0             = 
   277 c277                        0             0             = 
   278 c278                        0             0             = 
   279 c279                        0             0             = 
   280 c280                        0             0             = 
   281 c281                        0             0             = 
   282 c282                        0             0             = 
   283 c283                        0             0             = 
   284 c284                        0             0             = 
   285 c285                        0             0             = 
   286 c286                        0             0             = 
   287 c287                        0             0             = 
   288 c288                        0             0             = 
   289 c289                        0             0             = 
   290 c290                        0             0             = 
   291 c291                        0             0             = 
   292 c292                        0             0             = 
   293 c293                        0             0             = 
   294 c294                        0             0             = 
   295 c295                        0             0             = 
   296 c296                        0             0             = 
   297 c297                        0             0             = 
   298 c298                        0             0             = 
   299 c299                        0             0             = 
   300 c300                        0             0             = 
   301 c301                        0             0             = 
   302 c302                        0             0             = 
   303 c303                        0             0             = 
   304 c304                        0             0             = 
   305 c305                        0             0             = 
   306 c306                        0             0             = 
   307 c307                        0             0             = 
   308 c308                        0             0             = 
   309 c309                        0             0             = 
   310 c310                        0             0             = 
   311 c311                        0             0             = 
   312 c312                        0             0             = 
   313 c313                        0             0             = 
   314 c314                        0             0             = 
   315 c315                        0             0             = 
   316 c316                        0             0             = 
   317 c317                        0             0             = 
   318 c318                        0             0             = 
   319 c319                        0             0             = 
   320 c320                        0             0             = 
   321 c321                        0             0             = 
   322 c322                        0             0             = 
   323 c323                        0             0             = 
   324 c324                        0             0             = 
   325 c325                        0             0             = 
   326 c326                        0             0             = 
   327 c327                        0             0             = 
   328 c328                        0             0             = 
   329 c329                        0             0             = 
   330 c330                        0             0             = 
   331 c331                        0             0             = 
   332 c332                        0             0             = 
   333 c333                        0             0             = 
   334 c334                        0             0             = 
   335 c335                        0             0             = 
   336 c336                        0             0             = 
   337 c337                        0             0             = 
   338 c338                        0             0             = 
   339 c339                        0             0             = 
   340 c340                        0             0             = 
   341 c341                        0             0             = 
   342 c342                        0             0             = 
   343 c343                        0             0             = 
   344 c344                        0             0             = 
   345 c345                        0             0             = 
   346 c346                        0             0             = 
   347 c347                        0             0             = 
   348 c348                        0             0             = 
   349 c349                        0             0             = 
   350 c350                        0             0             = 
   351 c351                        0             0             = 
   352 c352                        0             0             = 
   353 c353                        0             0             = 
   354 c354                        0             0             = 
   355 c355                        0             0             = 
   356 c356                        0             0             = 
   357 c357                        0             0             = 
   358 c358                        0             0             = 
   359 c359                        0             0             = 
   360 c360                        0             0             = 
   361 c361                        0             0             = 
   362 c362                        0             0             = 
   363 c363                        0             0             = 
   364 c364                        0             0             = 
   365 c365                        0             0             = 
   366 c366                        0             0             = 
   367 c367                        0             0             = 
   368 c368                        0             0             = 
   369 c369                        0             0             = 
   370 c370                        0             0             = 
   371 c371                        0             0             = 
   372 c372                        0             0             = 
   373 c373                        0             0             = 
   374 c374                        0             0             = 
   375 c375                        0             0             = 
   376 c376                        0             0             = 
   377 c377                        0             0             = 
   378 c378                        0             0             = 
   379 c379                        0             0             = 
   380 c380                        0             0             = 
   381 c381                        0             0             = 
   382 c382                        0             0             = 
   383 c383                        0             0             = 
   384 c384                        0             0             = 
   385 c385                        0             0             = 
   386 c386                        0             0             = 
   387 c387                        0             0             = 
   388 c388                        0             0             = 
   389 c389                        0             0             = 
   390 c390                        0             0             = 
   391 c391                        0             0             = 
   392 c392                        0             0             = 
   393 c393                        0             0             = 
   394 c394                        0             0             = 
   395 c395                        0             0             = 
   396 c396                        0             0             = 
   397 c397                        0             0             = 
   398 c398                        0             0             = 
   399 c399                        0             0             = 
   400 c400                        0             0             = 
   401 c401                        0             0             = 
   402 c402                        0             0             = 
   403 c403                        0             0             = 
   404 c404                        0             0             = 
   405 c405                        0             0             = 
   406 c406                        0             0             = 
   407 c407                        0             0             = 
   408 c408                        0             0             = 
   409 c409                        0             0             = 
   410 c410                        0             0             = 
   411 c411                        0             0             = 
   412 c412                        0             0             = 
   413 c413                        0             0             = 
   414 c414                        0             0             = 
   415 c415                        0             0             = 
   416 c416                        0             0             = 
   417 c417                        0             0             = 
   418 c418                        0             0             = 
   419 c419                        0             0             = 
   420 c420                        0             0             = 
   421 c421                        0             0             = 
   422 c422                        0             0             = 
   423 c423                        0             0             = 
   424 c424                        0             0             = 
   425 c425                        0             0             = 
   426 c426                        0             0             = 
   427 c427                        0             0             = 
   428 c428                        0             0             = 
   429 c429                        0             0             = 
   430 c430                        0             0             = 
   431 c431                        0             0             = 
   432 c432                        0             0             = 
   433 c433                        0             0             = 
   434 c434                        0             0             = 
   435 c435                       15                          30 
   436 c436                       15                          30 
   437 c437                       15                          30 
   438 c438                       15                          30 
   439 c439                       15                          30 
   440 c440                       30                          30 
   441 c441                       15                          30 
   442 c442                       23                          30 
   443 c443                       22                          30 
   444 c444                       15                          30 
   445 c445                        9                          30 
   446 c446                       21                          30 
   447 c447                       15                          30 
   448 c448                        0                          30 
   449 c449                        0                          30 
   450 c450                        0                          30 
   451 c451                        0                          30 
   452 c452                       15                          30 
   453 c453                        0                          30 
   454 c454                        0                          30 
   455 c455                        0                          30 
   456 c456                        0                          30 
   457 c457                        0                          30 
   458 c458                        0                          30 
   459 c459                        0                          30 
   460 c460                       15                          30 
   461 c461                        0                          30 
   462 c462                        0                          30 
   463 c463                       15                          30 
   464 c464                        0                          30 

   No. Column name       Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 f_0_0_1      *             15             0            15 
     2 f_1_0_3      *             15             0            15 
     3 f_2_0_5      *             15             0            15 
     4 f_3_0_7      *             15             0            15 
     5 f_4_0_9      *             15             0            15 
     6 f_5_0_11     *             15             0            15 
     7 f_6_0_13     *             15             0            15 
     8 f_0_16_61    *              0             0            11 
     9 f_1_16_61    *              0             0            23 
    10 f_2_16_61    *              0             0            23 
    11 f_3_16_61    *              0             0            23 
    12 f_4_16_61    *             15             0            23 
    13 f_5_16_61    *              8             0            23 
    14 f_6_16_61    *              0             0            23 
    15 f_0_18_61    *              0             0            14 
    16 f_1_18_61    *              0             0            29 
    17 f_2_18_61    *              0             0            29 
    18 f_3_18_61    *              0             0            29 
    19 f_4_18_61    *              0             0            29 
    20 f_5_18_61    *              7             0            29 
    21 f_6_18_61    *             15             0            29 
    22 f_0_20_61    *              0             0            15 
    23 f_1_20_61    *              0             0            30 
    24 f_2_20_61    *             15             0            30 
    25 f_3_20_61    *              0             0            30 
    26 f_4_20_61    *              0             0            30 
    27 f_5_20_61    *              0             0            30 
    28 f_6_20_61    *              0             0            30 
    29 f_0_22_61    *              9             0             9 
    30 f_1_22_61    *              0             0            18 
    31 f_2_22_61    *              0             0            18 
    32 f_3_22_61    *              0             0            18 
    33 f_4_22_61    *              0             0            18 
    34 f_5_22_61    *              0             0            18 
    35 f_6_22_61    *              0             0            18 
    36 f_0_24_61    *              6             0            14 
    37 f_1_24_61    *              0             0            28 
    38 f_2_24_61    *              0             0            28 
    39 f_3_24_61    *             15             0            28 
    40 f_4_24_61    *              0             0            28 
    41 f_5_24_61    *              0             0            28 
    42 f_6_24_61    *              0             0            28 
    43 f_0_26_61    *              0             0             9 
    44 f_1_26_61    *             15             0            19 
    45 f_2_26_61    *              0             0            19 
    46 f_3_26_61    *              0             0            19 
    47 f_4_26_61    *              0             0            19 
    48 f_5_26_61    *              0             0            19 
    49 f_6_26_61    *              0             0            19 
    50 f_0_28_61    *              0             0             8 
    51 f_1_28_61    *              0             0            16 
    52 f_2_28_61    *              0             0            16 
    53 f_3_28_61    *              0             0            16 
    54 f_4_28_61    *              0             0            16 
    55 f_5_28_61    *              0             0            16 
    56 f_6_28_61    *              0             0            16 
    57 f_0_8_1      *              0             0           105 
    58 f_0_10_1     *              0             0           105 
    59 f_0_22_1     *              0             0           105 
    60 f_0_24_1     *              0             0           105 
    61 f_0_26_1     *              0             0           105 
    62 f_0_28_1     *              0             0           105 
    63 f_0_30_1     *              0             0           105 
    64 f_0_34_1     *              0             0           105 
    65 f_0_40_1     *              0             0           105 
    66 f_0_46_1     *              0             0           105 
    67 f_0_1_2      *             15             0            30 
    68 f_0_2_7      *              0             0           105 
    69 f_0_2_9      *              0             0           105 
    70 f_0_2_21     *              9             0           105 
    71 f_0_2_23     *              6             0           105 
    72 f_0_2_25     *              0             0           105 
    73 f_0_2_27     *              0             0           105 
    74 f_0_2_29     *              0             0           105 
    75 f_0_2_33     *              0             0           105 
    76 f_0_2_39     *              0             0           105 
    77 f_0_2_45     *              0             0           105 
    78 f_0_0_3      *              0             0             = 
    79 f_0_8_3      *              0             0           105 
    80 f_0_22_3     *              0             0           105 
    81 f_0_26_3     *              0             0           105 
    82 f_0_28_3     *              0             0           105 
    83 f_0_34_3     *              0             0           105 
    84 f_0_40_3     *              0             0           105 
    85 f_0_44_3     *              0             0           105 
    86 f_0_3_4      *              0             0            30 
    87 f_0_4_7      *              0             0           105 
    88 f_0_4_21     *              0             0           105 
    89 f_0_4_25     *              0             0           105 
    90 f_0_4_27     *              0             0           105 
    91 f_0_4_33     *              0             0           105 
    92 f_0_4_39     *              0             0           105 
    93 f_0_4_43     *              0             0           105 
    94 f_0_0_5      *              0             0             = 
    95 f_0_10_5     *              0             0           105 
    96 f_0_36_5     *              0             0           105 
    97 f_0_42_5     *              0             0           105 
    98 f_0_50_5     *              0             0           105 
    99 f_0_5_6      *              0             0            30 
   100 f_0_6_9      *              0             0           105 
   101 f_0_6_35     *              0             0           105 
   102 f_0_6_41     *              0             0           105 
   103 f_0_6_49     *              0             0           105 
   104 f_0_0_7      *              0             0             = 
   105 f_0_22_7     *              0             0           105 
   106 f_0_24_7     *              0             0           105 
   107 f_0_26_7     *              0             0           105 
   108 f_0_28_7     *              0             0           105 
   109 f_0_30_7     *              0             0           105 
   110 f_0_34_7     *              0             0           105 
   111 f_0_40_7     *              0             0           105 
   112 f_0_44_7     *              0             0           105 
   113 f_0_46_7     *              0             0           105 
   114 f_0_48_7     *              0             0           105 
   115 f_0_52_7     *              0             0           105 
   116 f_0_7_8      *              0             0            30 
   117 f_0_8_21     *              0             0           105 
   118 f_0_8_23     *              0             0           105 
   119 f_0_8_25     *              0             0           105 
   120 f_0_8_27     *              0             0           105 
   121 f_0_8_29     *              0             0           105 
   122 f_0_8_33     *              0             0           105 
   123 f_0_8_39     *              0             0           105 
   124 f_0_8_43     *              0             0           105 
   125 f_0_8_45     *              0             0           105 
   126 f_0_8_47     *              0             0           105 
   127 f_0_8_51     *              0             0           105 
   128 f_0_0_9      *              0             0             = 
   129 f_0_30_9     *              0             0           105 
   130 f_0_36_9     *              0             0           105 
   131 f_0_42_9     *              0             0           105 
   132 f_0_46_9     *              0             0           105 
   133 f_0_48_9     *              0             0           105 
   134 f_0_50_9     *              0             0           105 
   135 f_0_52_9     *              0             0           105 
   136 f_0_9_10     *              0             0            30 
   137 f_0_10_29    *              0             0           105 
   138 f_0_10_35    *              0             0           105 
   139 f_0_10_41    *              0             0           105 
   140 f_0_10_45    *              0             0           105 
   141 f_0_10_47    *              0             0           105 
   142 f_0_10_49    *              0             0           105 
   143 f_0_10_51    *              0             0           105 
   144 f_0_0_11     *              0             0             = 
   145 f_0_16_11    *              0             0           105 
   146 f_0_18_11    *              0             0           105 
   147 f_0_20_11    *              0             0           105 
   148 f_0_48_11    *              0             0           105 
   149 f_0_52_11    *              0             0           105 
   150 f_0_54_11    *              0             0           105 
   151 f_0_56_11    *              0             0           105 
   152 f_0_58_11    *              0             0           105 
   153 f_0_11_12    *              0             0            30 
   154 f_0_12_15    *              0             0           105 
   155 f_0_12_17    *              0             0           105 
   156 f_0_12_19    *              0             0           105 
   157 f_0_12_47    *              0             0           105 
   158 f_0_12_51    *              0             0           105 
   159 f_0_12_53    *              0             0           105 
   160 f_0_12_55    *              0             0           105 
   161 f_0_12_57    *              0             0           105 
   162 f_0_0_13     *              0             0             = 
   163 f_0_56_13    *              0             0           105 
   164 f_0_58_13    *              0             0           105 
   165 f_0_13_14    *              0             0            30 
   166 f_0_14_55    *              0             0           105 
   167 f_0_14_57    *              0             0           105 
   168 f_0_18_15    *              0             0           105 
   169 f_0_30_15    *              0             0           105 
   170 f_0_46_15    *              0             0           105 
   171 f_0_48_15    *              0             0           105 
   172 f_0_52_15    *              0             0           105 
   173 f_0_54_15    *              0             0           105 
   174 f_0_56_15    *              0             0           105 
   175 f_0_58_15    *              0             0           105 
   176 f_0_15_16    *              0             0            30 
   177 f_0_16_17    *              0             0           105 
   178 f_0_16_29    *              0             0           105 
   179 f_0_16_45    *              0             0           105 
   180 f_0_16_47    *              0             0           105 
   181 f_0_16_51    *              0             0           105 
   182 f_0_16_53    *              0             0           105 
   183 f_0_16_55    *              0             0           105 
   184 f_0_16_57    *              0             0           105 
   185 f_0_20_17    *              0             0           105 
   186 f_0_30_17    *              0             0           105 
   187 f_0_46_17    *              0             0           105 
   188 f_0_48_17    *              0             0           105 
   189 f_0_52_17    *              0             0           105 
   190 f_0_54_17    *              0             0           105 
   191 f_0_17_18    *              0             0            30 
   192 f_0_18_19    *              0             0           105 
   193 f_0_18_29    *              0             0           105 
   194 f_0_18_45    *              0             0           105 
   195 f_0_18_47    *              0             0           105 
   196 f_0_18_51    *              0             0           105 
   197 f_0_18_53    *              0             0           105 
   198 f_0_36_19    *              0             0           105 
   199 f_0_54_19    *              0             0           105 
   200 f_0_19_20    *              0             0            30 
   201 f_0_20_35    *              0             0           105 
   202 f_0_20_53    *              0             0           105 
   203 f_0_24_21    *              0             0           105 
   204 f_0_26_21    *              0             0           105 
   205 f_0_28_21    *              0             0           105 
   206 f_0_34_21    *              0             0           105 
   207 f_0_40_21    *              0             0           105 
   208 f_0_44_21    *              0             0           105 
   209 f_0_21_22    *              9             0            30 
   210 f_0_22_23    *              0             0           105 
   211 f_0_22_25    *              0             0           105 
   212 f_0_22_27    *              0             0           105 
   213 f_0_22_33    *              0             0           105 
   214 f_0_22_39    *              0             0           105 
   215 f_0_22_43    *              0             0           105 
   216 f_0_26_23    *              0             0           105 
   217 f_0_28_23    *              0             0           105 
   218 f_0_23_24    *              6             0            30 
   219 f_0_24_25    *              0             0           105 
   220 f_0_24_27    *              0             0           105 
   221 f_0_28_25    *              0             0           105 
   222 f_0_40_25    *              0             0           105 
   223 f_0_25_26    *              0             0            30 
   224 f_0_26_27    *              0             0           105 
   225 f_0_26_39    *              0             0           105 
   226 f_0_34_27    *              0             0           105 
   227 f_0_40_27    *              0             0           105 
   228 f_0_44_27    *              0             0           105 
   229 f_0_27_28    *              0             0            30 
   230 f_0_28_33    *              0             0           105 
   231 f_0_28_39    *              0             0           105 
   232 f_0_28_43    *              0             0           105 
   233 f_0_34_29    *              0             0           105 
   234 f_0_40_29    *              0             0           105 
   235 f_0_46_29    *              0             0           105 
   236 f_0_48_29    *              0             0           105 
   237 f_0_50_29    *              0             0           105 
   238 f_0_52_29    *              0             0           105 
   239 f_0_29_30    *              0             0            30 
   240 f_0_30_33    *              0             0           105 
   241 f_0_30_39    *              0             0           105 
   242 f_0_30_45    *              0             0           105 
   243 f_0_30_47    *              0             0           105 
   244 f_0_30_49    *              0             0           105 
   245 f_0_30_51    *              0             0           105 
   246 f_0_38_31    *              0             0           105 
   247 f_0_60_31    *              0             0           105 
   248 f_0_31_32    *              0             0            30 
   249 f_0_32_37    *              0             0           105 
   250 f_0_32_59    *              0             0           105 
   251 f_0_38_33    *              0             0           105 
   252 f_0_40_33    *              0             0           105 
   253 f_0_44_33    *              0             0           105 
   254 f_0_46_33    *              0             0           105 
   255 f_0_60_33    *              0             0           105 
   256 f_0_33_34    *              0             0            30 
   257 f_0_34_37    *              0             0           105 
   258 f_0_34_39    *              0             0           105 
   259 f_0_34_43    *              0             0           105 
   260 f_0_34_45    *              0             0           105 
   261 f_0_34_59    *              0             0           105 
   262 f_0_42_35    *              0             0           105 
   263 f_0_50_35    *              0             0           105 
   264 f_0_35_36    *              0             0            30 
   265 f_0_36_41    *              0             0           105 
   266 f_0_36_49    *              0             0           105 
   267 f_0_44_37    *              0             0           105 
   268 f_0_60_37    *              0             0           105 
   269 f_0_37_38    *              0             0            30 
   270 f_0_38_43    *              0             0           105 
   271 f_0_38_59    *              0             0           105 
   272 f_0_44_39    *              0             0           105 
   273 f_0_46_39    *              0             0           105 
   274 f_0_39_40    *              0             0            30 
   275 f_0_40_43    *              0             0           105 
   276 f_0_40_45    *              0             0           105 
   277 f_0_50_41    *              0             0           105 
   278 f_0_41_42    *              0             0            30 
   279 f_0_42_49    *              0             0           105 
   280 f_0_60_43    *              0             0           105 
   281 f_0_43_44    *              0             0            30 
   282 f_0_44_59    *              0             0           105 
   283 f_0_48_45    *              0             0           105 
   284 f_0_52_45    *              0             0           105 
   285 f_0_45_46    *              0             0            30 
   286 f_0_46_47    *              0             0           105 
   287 f_0_46_51    *              0             0           105 
   288 f_0_52_47    *              0             0           105 
   289 f_0_54_47    *              0             0           105 
   290 f_0_47_48    *              0             0            30 
   291 f_0_48_51    *              0             0           105 
   292 f_0_48_53    *              0             0           105 
   293 f_0_49_50    *              0             0            30 
   294 f_0_54_51    *              0             0           105 
   295 f_0_51_52    *              0             0            30 
   296 f_0_52_53    *              0             0           105 
   297 f_0_56_53    *              0             0           105 
   298 f_0_53_54    *              0             0            30 
   299 f_0_54_55    *              0             0           105 
   300 f_0_58_55    *              0             0           105 
   301 f_0_55_56    *              0             0            30 
   302 f_0_56_57    *              0             0           105 
   303 f_0_57_58    *              0             0            30 
   304 f_0_59_60    *              0             0            30 
   305 f_1_0_1      *              0             0             = 
   306 f_1_8_1      *              0             0           105 
   307 f_1_10_1     *              0             0           105 
   308 f_1_22_1     *              0             0           105 
   309 f_1_24_1     *              0             0           105 
   310 f_1_26_1     *              0             0           105 
   311 f_1_28_1     *              0             0           105 
   312 f_1_30_1     *              0             0           105 
   313 f_1_34_1     *              0             0           105 
   314 f_1_40_1     *              0             0           105 
   315 f_1_46_1     *              0             0           105 
   316 f_1_1_2      *              0             0            30 
   317 f_1_2_7      *              0             0           105 
   318 f_1_2_9      *              0             0           105 
   319 f_1_2_21     *              0             0           105 
   320 f_1_2_23     *              0             0           105 
   321 f_1_2_25     *              0             0           105 
   322 f_1_2_27     *              0             0           105 
   323 f_1_2_29     *              0             0           105 
   324 f_1_2_33     *              0             0           105 
   325 f_1_2_39     *              0             0           105 
   326 f_1_2_45     *              0             0           105 
   327 f_1_8_3      *              0             0           105 
   328 f_1_22_3     *              0             0           105 
   329 f_1_26_3     *              0             0           105 
   330 f_1_28_3     *              0             0           105 
   331 f_1_34_3     *              0             0           105 
   332 f_1_40_3     *              0             0           105 
   333 f_1_44_3     *              0             0           105 
   334 f_1_3_4      *             15             0            30 
   335 f_1_4_7      *              0             0           105 
   336 f_1_4_21     *              0             0           105 
   337 f_1_4_25     *             15             0           105 
   338 f_1_4_27     *              0             0           105 
   339 f_1_4_33     *              0             0           105 
   340 f_1_4_39     *              0             0           105 
   341 f_1_4_43     *              0             0           105 
   342 f_1_0_5      *              0             0             = 
   343 f_1_10_5     *              0             0           105 
   344 f_1_36_5     *              0             0           105 
   345 f_1_42_5     *              0             0           105 
   346 f_1_50_5     *              0             0           105 
   347 f_1_5_6      *              0             0            30 
   348 f_1_6_9      *              0             0           105 
   349 f_1_6_35     *              0             0           105 
   350 f_1_6_41     *              0             0           105 
   351 f_1_6_49     *              0             0           105 
   352 f_1_0_7      *              0             0             = 
   353 f_1_22_7     *              0             0           105 
